name	class_name	signature	hover
get_copyright_info	Engine	get_copyright_info() -> typedarray::Dictionary	Returns an [Array] of dictionaries with copyright information for every component of Godot's source code. Every [Dictionary] contains a [code]name[/code] identifier, and a [code]parts[/code] array of dictionaries. It describes the component in detail with the following entries: - [code]files[/code] - [Array] of file paths from the source code affected by this component; - [code]copyright[/code] - [Array] of owners of this component; - [code]license[/code] - The license applied to this component (such as "[url=https://en.wikipedia.org/wiki/MIT_License#Ambiguity_and_variants]Expat[/url]" or "[url=https://creativecommons.org/licenses/by/4.0/]CC-BY-4.0[/url]").
get_corner_detail	StyleBoxFlat	get_corner_detail() -> int	A customizable [StyleBox] that doesn't use a texture.
get_corner_radius	StyleBoxFlat	get_corner_radius(corner: enum::Corner) -> int	Returns the given [param corner]'s radius.
get_correlated_color	Light3D	get_correlated_color() -> Color	Returns the [Color] of an idealized blackbody at the given [member light_temperature]. This value is calculated internally based on the [member light_temperature]. This [Color] is multiplied by [member light_color] before being sent to the [RenderingServer].
get_count	GLTFAccessor	get_count() -> int	Represents a glTF accessor.
get_country_name	TranslationServer	get_country_name(country: String) -> String	Returns a readable country name for the [param country] code.
get_create_animations	GLTFState	get_create_animations() -> bool	Represents all data of a glTF file.
get_csv_line	FileAccess	get_csv_line(delim: String = ",") -> PackedStringArray	Returns the next value of the file in CSV (Comma-Separated Values) format. You can pass a different delimiter [param delim] to use other than the default [code]","[/code] (comma). This delimiter must be one-character long, and cannot be a double quotation mark. Text is interpreted as being UTF-8 encoded. Text values must be enclosed in double quotes if they include the delimiter character. Double quotes within a text value can be escaped by doubling their occurrence. This advances the file cursor to after the newline character at the end of the line. For example, the following CSV lines are valid and will be properly parsed as two strings each: [codeblock lang=text] Alice,"Hello, Bob!" Bob,Alice! What a surprise! Alice,"I thought you'd reply with ""Hello, world""." [/codeblock] Note how the second line can omit the enclosing quotes as it does not include the delimiter. However it [i]could[/i] very well use quotes, it was only written without for demonstration purposes. The third line must use [code]""[/code] for each quotation mark that needs to be interpreted as such instead of the end of a text value.
get_cube_map	VisualShaderNodeCubemap	get_cube_map() -> TextureLayered	A [Cubemap] sampling node to be used within the visual shader graph.
get_cubic_interpolation	PathFollow2D	get_cubic_interpolation() -> bool	Point sampler for a [Path2D].
get_cubic_interpolation	PathFollow3D	get_cubic_interpolation() -> bool	Point sampler for a [Path3D].
get_cull_mask	Camera3D	get_cull_mask() -> int	Camera node, displays from a point of view.
get_cull_mask	Decal	get_cull_mask() -> int	Node that projects a texture onto a [MeshInstance3D].
get_cull_mask	GPUParticlesAttractor3D	get_cull_mask() -> int	Abstract base class for 3D particle attractors.
get_cull_mask	GPUParticlesCollision3D	get_cull_mask() -> int	Abstract base class for 3D particle collision shapes affecting [GPUParticles3D] nodes.
get_cull_mask	Light3D	get_cull_mask() -> int	Provides a base class for different kinds of light nodes.
get_cull_mask	ReflectionProbe	get_cull_mask() -> int	Captures its surroundings to create fast, accurate reflections from a given point.
get_cull_mask_value	Camera3D	get_cull_mask_value(layer_number: int) -> bool	Returns whether or not the specified layer of the [member cull_mask] is enabled, given a [param layer_number] between 1 and 20.
get_cull_mode	BaseMaterial3D	get_cull_mode() -> enum::BaseMaterial3D.CullMode	Abstract base class for defining the 3D rendering properties of meshes.
get_cull_mode	OccluderPolygon2D	get_cull_mode() -> enum::OccluderPolygon2D.CullMode	Defines a 2D polygon for LightOccluder2D.
get_cull_mode	RDPipelineRasterizationState	get_cull_mode() -> enum::RenderingDevice.PolygonCullMode	Pipeline rasterization state (used by [RenderingDevice]).
get_current_action	UndoRedo	get_current_action() -> int	Gets the index of the current action.
get_current_action_name	UndoRedo	get_current_action_name() -> String	Gets the name of the current action, equivalent to [code]get_action_name(get_current_action())[/code].
get_current_animation	AnimationPlayer	get_current_animation() -> StringName	A node used for animation playback.
get_current_animation_length	AnimationPlayer	get_current_animation_length() -> float	A node used for animation playback.
get_current_animation_position	AnimationPlayer	get_current_animation_position() -> float	A node used for animation playback.
get_current_clip_index	AudioStreamPlaybackInteractive	get_current_clip_index() -> int	Return the index of the currently playing clip. You can use this to get the name of the currently playing clip with [method AudioStreamInteractive.get_clip_name]. [b]Example:[/b] Get the currently playing clip name from inside an [AudioStreamPlayer] node. [codeblocks] [gdscript] var playing_clip_name = stream.get_clip_name(get_stream_playback().get_current_clip_index()) [/gdscript] [/codeblocks]
get_current_cursor_shape	Input	get_current_cursor_shape() -> enum::Input.CursorShape	Returns the currently assigned cursor shape.
get_current_dir	DirAccess	get_current_dir(include_drive: bool = true) -> String	Returns the absolute path to the currently opened directory (e.g. [code]res://folder[/code] or [code]C:\\tmp\\folder[/code]).
get_current_dir	FileDialog	get_current_dir() -> String	A dialog for selecting files or directories in the filesystem.
get_current_directory	EditorInterface	get_current_directory() -> String	Returns the current directory being viewed in the [FileSystemDock]. If a file is selected, its base directory will be returned using [method String.get_base_dir] instead.
get_current_drive	DirAccess	get_current_drive() -> int	Returns the currently opened directory's drive index. See [method get_drive_name] to convert returned index to the name of the drive.
get_current_editor	ScriptEditor	get_current_editor() -> ScriptEditorBase	Returns the [ScriptEditorBase] object that the user is currently editing.
get_current_feature_profile	EditorInterface	get_current_feature_profile() -> String	Returns the name of the currently activated feature profile. If the default profile is currently active, an empty string is returned instead. In order to get a reference to the [EditorFeatureProfile], you must load the feature profile using [method EditorFeatureProfile.load_from_file]. [b]Note:[/b] Feature profiles created via the user interface are loaded from the [code]feature_profiles[/code] directory, as a file with the [code].profile[/code] extension. The editor configuration folder can be found by using [method EditorPaths.get_config_dir].
get_current_file	FileDialog	get_current_file() -> String	A dialog for selecting files or directories in the filesystem.
get_current_frame	AnimatedTexture	get_current_frame() -> int	Proxy texture for simple frame-based animations.
get_current_grid_map	GridMapEditorPlugin	get_current_grid_map() -> GridMap	Returns the [GridMap] node currently edited by the grid map editor.
