name	class_name	signature	hover
_accessibility_get_contextual_info	Control	_accessibility_get_contextual_info() -> String	Return the description of the keyboard shortcuts and other contextual help for this control.
_activate_feed	CameraFeed	_activate_feed() -> bool	Called when the camera feed is activated.
_add_constant_central_force	PhysicsDirectBodyState2DExtension	_add_constant_central_force(force: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_central_force].
_add_constant_central_force	PhysicsDirectBodyState3DExtension	_add_constant_central_force(force: Vector3) -> void	
_add_constant_force	PhysicsDirectBodyState2DExtension	_add_constant_force(force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_force].
_add_constant_force	PhysicsDirectBodyState3DExtension	_add_constant_force(force: Vector3, position: Vector3) -> void	
_add_constant_torque	PhysicsDirectBodyState2DExtension	_add_constant_torque(torque: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.add_constant_torque].
_add_constant_torque	PhysicsDirectBodyState3DExtension	_add_constant_torque(torque: Vector3) -> void	
_add_frame	EngineProfiler	_add_frame(data: Array) -> void	Called when data is added to profiler using [method EngineDebugger.profiler_add_frame_data].
_add_global_constant	ScriptLanguageExtension	_add_global_constant(name: StringName, value: Variant) -> void	
_add_ice_candidate	WebRTCPeerConnectionExtension	_add_ice_candidate(p_sdp_mid_name: String, p_sdp_mline_index: int, p_sdp_name: String) -> enum::Error	
_add_named_global_constant	ScriptLanguageExtension	_add_named_global_constant(name: StringName, value: Variant) -> void	
_apply_central_force	PhysicsDirectBodyState2DExtension	_apply_central_force(force: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_central_force].
_apply_central_force	PhysicsDirectBodyState3DExtension	_apply_central_force(force: Vector3) -> void	
_apply_central_impulse	PhysicsDirectBodyState2DExtension	_apply_central_impulse(impulse: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_central_impulse].
_apply_central_impulse	PhysicsDirectBodyState3DExtension	_apply_central_impulse(impulse: Vector3) -> void	
_apply_changes	EditorPlugin	_apply_changes() -> void	This method is called when the editor is about to save the project, switch to another tab, etc. It asks the plugin to apply any pending state changes to ensure consistency. This is used, for example, in shader editors to let the plugin know that it must apply the shader code being written by the user to the object.
_apply_force	PhysicsDirectBodyState2DExtension	_apply_force(force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_force].
_apply_force	PhysicsDirectBodyState3DExtension	_apply_force(force: Vector3, position: Vector3) -> void	
_apply_impulse	PhysicsDirectBodyState2DExtension	_apply_impulse(impulse: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_impulse].
_apply_impulse	PhysicsDirectBodyState3DExtension	_apply_impulse(impulse: Vector3, position: Vector3) -> void	
_apply_torque	PhysicsDirectBodyState2DExtension	_apply_torque(torque: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_torque].
_apply_torque	PhysicsDirectBodyState3DExtension	_apply_torque(torque: Vector3) -> void	
_apply_torque_impulse	PhysicsDirectBodyState2DExtension	_apply_torque_impulse(impulse: float) -> void	Overridable version of [method PhysicsDirectBodyState2D.apply_torque_impulse].
_apply_torque_impulse	PhysicsDirectBodyState3DExtension	_apply_torque_impulse(impulse: Vector3) -> void	
_area_add_shape	PhysicsServer2DExtension	_area_add_shape(area: RID, shape: RID, transform: Transform2D, disabled: bool) -> void	Overridable version of [method PhysicsServer2D.area_add_shape].
_area_add_shape	PhysicsServer3DExtension	_area_add_shape(area: RID, shape: RID, transform: Transform3D, disabled: bool) -> void	
_area_attach_canvas_instance_id	PhysicsServer2DExtension	_area_attach_canvas_instance_id(area: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.area_attach_canvas_instance_id].
_area_attach_object_instance_id	PhysicsServer2DExtension	_area_attach_object_instance_id(area: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.area_attach_object_instance_id].
_area_attach_object_instance_id	PhysicsServer3DExtension	_area_attach_object_instance_id(area: RID, id: int) -> void	
_area_clear_shapes	PhysicsServer2DExtension	_area_clear_shapes(area: RID) -> void	Overridable version of [method PhysicsServer2D.area_clear_shapes].
_area_clear_shapes	PhysicsServer3DExtension	_area_clear_shapes(area: RID) -> void	
_area_create	PhysicsServer2DExtension	_area_create() -> RID	Overridable version of [method PhysicsServer2D.area_create].
_area_create	PhysicsServer3DExtension	_area_create() -> RID	
_area_get_canvas_instance_id	PhysicsServer2DExtension	_area_get_canvas_instance_id(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_canvas_instance_id].
_area_get_collision_layer	PhysicsServer2DExtension	_area_get_collision_layer(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_collision_layer].
_area_get_collision_layer	PhysicsServer3DExtension	_area_get_collision_layer(area: RID) -> int	
_area_get_collision_mask	PhysicsServer2DExtension	_area_get_collision_mask(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_collision_mask].
_area_get_collision_mask	PhysicsServer3DExtension	_area_get_collision_mask(area: RID) -> int	
_area_get_object_instance_id	PhysicsServer2DExtension	_area_get_object_instance_id(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_object_instance_id].
_area_get_object_instance_id	PhysicsServer3DExtension	_area_get_object_instance_id(area: RID) -> int	
_area_get_param	PhysicsServer2DExtension	_area_get_param(area: RID, param: enum::PhysicsServer2D.AreaParameter) -> Variant	Overridable version of [method PhysicsServer2D.area_get_param].
_area_get_param	PhysicsServer3DExtension	_area_get_param(area: RID, param: enum::PhysicsServer3D.AreaParameter) -> Variant	
_area_get_shape	PhysicsServer2DExtension	_area_get_shape(area: RID, shape_idx: int) -> RID	Overridable version of [method PhysicsServer2D.area_get_shape].
_area_get_shape	PhysicsServer3DExtension	_area_get_shape(area: RID, shape_idx: int) -> RID	
_area_get_shape_count	PhysicsServer2DExtension	_area_get_shape_count(area: RID) -> int	Overridable version of [method PhysicsServer2D.area_get_shape_count].
_area_get_shape_count	PhysicsServer3DExtension	_area_get_shape_count(area: RID) -> int	
_area_get_shape_transform	PhysicsServer2DExtension	_area_get_shape_transform(area: RID, shape_idx: int) -> Transform2D	Overridable version of [method PhysicsServer2D.area_get_shape_transform].
_area_get_shape_transform	PhysicsServer3DExtension	_area_get_shape_transform(area: RID, shape_idx: int) -> Transform3D	
_area_get_space	PhysicsServer2DExtension	_area_get_space(area: RID) -> RID	Overridable version of [method PhysicsServer2D.area_get_space].
_area_get_space	PhysicsServer3DExtension	_area_get_space(area: RID) -> RID	
_area_get_transform	PhysicsServer2DExtension	_area_get_transform(area: RID) -> Transform2D	Overridable version of [method PhysicsServer2D.area_get_transform].
_area_get_transform	PhysicsServer3DExtension	_area_get_transform(area: RID) -> Transform3D	
_area_remove_shape	PhysicsServer2DExtension	_area_remove_shape(area: RID, shape_idx: int) -> void	Overridable version of [method PhysicsServer2D.area_remove_shape].
_area_remove_shape	PhysicsServer3DExtension	_area_remove_shape(area: RID, shape_idx: int) -> void	
_area_set_area_monitor_callback	PhysicsServer2DExtension	_area_set_area_monitor_callback(area: RID, callback: Callable) -> void	Overridable version of [method PhysicsServer2D.area_set_area_monitor_callback].
_area_set_area_monitor_callback	PhysicsServer3DExtension	_area_set_area_monitor_callback(area: RID, callback: Callable) -> void	
_area_set_collision_layer	PhysicsServer2DExtension	_area_set_collision_layer(area: RID, layer: int) -> void	Overridable version of [method PhysicsServer2D.area_set_collision_layer].
_area_set_collision_layer	PhysicsServer3DExtension	_area_set_collision_layer(area: RID, layer: int) -> void	
_area_set_collision_mask	PhysicsServer2DExtension	_area_set_collision_mask(area: RID, mask: int) -> void	Overridable version of [method PhysicsServer2D.area_set_collision_mask].
_area_set_collision_mask	PhysicsServer3DExtension	_area_set_collision_mask(area: RID, mask: int) -> void	
_area_set_monitor_callback	PhysicsServer2DExtension	_area_set_monitor_callback(area: RID, callback: Callable) -> void	Overridable version of [method PhysicsServer2D.area_set_monitor_callback].
_area_set_monitor_callback	PhysicsServer3DExtension	_area_set_monitor_callback(area: RID, callback: Callable) -> void	
_area_set_monitorable	PhysicsServer2DExtension	_area_set_monitorable(area: RID, monitorable: bool) -> void	Overridable version of [method PhysicsServer2D.area_set_monitorable].
_area_set_monitorable	PhysicsServer3DExtension	_area_set_monitorable(area: RID, monitorable: bool) -> void	
_area_set_param	PhysicsServer2DExtension	_area_set_param(area: RID, param: enum::PhysicsServer2D.AreaParameter, value: Variant) -> void	Overridable version of [method PhysicsServer2D.area_set_param].
_area_set_param	PhysicsServer3DExtension	_area_set_param(area: RID, param: enum::PhysicsServer3D.AreaParameter, value: Variant) -> void	
_area_set_pickable	PhysicsServer2DExtension	_area_set_pickable(area: RID, pickable: bool) -> void	If set to [code]true[/code], allows the area with the given [RID] to detect mouse inputs when the mouse cursor is hovering on it. Overridable version of [PhysicsServer2D]'s internal [code]area_set_pickable[/code] method. Corresponds to [member CollisionObject2D.input_pickable].
_area_set_ray_pickable	PhysicsServer3DExtension	_area_set_ray_pickable(area: RID, enable: bool) -> void	
_area_set_shape	PhysicsServer2DExtension	_area_set_shape(area: RID, shape_idx: int, shape: RID) -> void	Overridable version of [method PhysicsServer2D.area_set_shape].
_area_set_shape	PhysicsServer3DExtension	_area_set_shape(area: RID, shape_idx: int, shape: RID) -> void	
_area_set_shape_disabled	PhysicsServer2DExtension	_area_set_shape_disabled(area: RID, shape_idx: int, disabled: bool) -> void	Overridable version of [method PhysicsServer2D.area_set_shape_disabled].
_area_set_shape_disabled	PhysicsServer3DExtension	_area_set_shape_disabled(area: RID, shape_idx: int, disabled: bool) -> void	
_area_set_shape_transform	PhysicsServer2DExtension	_area_set_shape_transform(area: RID, shape_idx: int, transform: Transform2D) -> void	Overridable version of [method PhysicsServer2D.area_set_shape_transform].
_area_set_shape_transform	PhysicsServer3DExtension	_area_set_shape_transform(area: RID, shape_idx: int, transform: Transform3D) -> void	
_area_set_space	PhysicsServer2DExtension	_area_set_space(area: RID, space: RID) -> void	Overridable version of [method PhysicsServer2D.area_set_space].
_area_set_space	PhysicsServer3DExtension	_area_set_space(area: RID, space: RID) -> void	
_area_set_transform	PhysicsServer2DExtension	_area_set_transform(area: RID, transform: Transform2D) -> void	Overridable version of [method PhysicsServer2D.area_set_transform].
_area_set_transform	PhysicsServer3DExtension	_area_set_transform(area: RID, transform: Transform3D) -> void	
_auto_indent_code	ScriptLanguageExtension	_auto_indent_code(code: String, from_line: int, to_line: int) -> String	
_backspace	TextEdit	_backspace(caret_index: int) -> void	Override this method to define what happens when the user presses the backspace key.
_begin_customize_resources	EditorExportPlugin	_begin_customize_resources(platform: EditorExportPlatform, features: PackedStringArray) -> bool	Return [code]true[/code] if this plugin will customize resources based on the platform and features used. When enabled, [method _get_customization_configuration_hash] and [method _customize_resource] will be called and must be implemented.
_begin_customize_scenes	EditorExportPlugin	_begin_customize_scenes(platform: EditorExportPlatform, features: PackedStringArray) -> bool	Return [code]true[/code] if this plugin will customize scenes based on the platform and features used. When enabled, [method _get_customization_configuration_hash] and [method _customize_scene] will be called and must be implemented. [b]Note:[/b] [method _customize_scene] will only be called for scenes that have been modified since the last export.
_begin_handle_action	EditorNode3DGizmo	_begin_handle_action(id: int, secondary: bool) -> void	
_begin_handle_action	EditorNode3DGizmoPlugin	_begin_handle_action(gizmo: EditorNode3DGizmo, handle_id: int, secondary: bool) -> void	
_body_add_collision_exception	PhysicsServer2DExtension	_body_add_collision_exception(body: RID, excepted_body: RID) -> void	Overridable version of [method PhysicsServer2D.body_add_collision_exception].
_body_add_collision_exception	PhysicsServer3DExtension	_body_add_collision_exception(body: RID, excepted_body: RID) -> void	
_body_add_constant_central_force	PhysicsServer2DExtension	_body_add_constant_central_force(body: RID, force: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_add_constant_central_force].
_body_add_constant_central_force	PhysicsServer3DExtension	_body_add_constant_central_force(body: RID, force: Vector3) -> void	
_body_add_constant_force	PhysicsServer2DExtension	_body_add_constant_force(body: RID, force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_add_constant_force].
_body_add_constant_force	PhysicsServer3DExtension	_body_add_constant_force(body: RID, force: Vector3, position: Vector3) -> void	
_body_add_constant_torque	PhysicsServer2DExtension	_body_add_constant_torque(body: RID, torque: float) -> void	Overridable version of [method PhysicsServer2D.body_add_constant_torque].
_body_add_constant_torque	PhysicsServer3DExtension	_body_add_constant_torque(body: RID, torque: Vector3) -> void	
_body_add_shape	PhysicsServer2DExtension	_body_add_shape(body: RID, shape: RID, transform: Transform2D, disabled: bool) -> void	Overridable version of [method PhysicsServer2D.body_add_shape].
_body_add_shape	PhysicsServer3DExtension	_body_add_shape(body: RID, shape: RID, transform: Transform3D, disabled: bool) -> void	
_body_apply_central_force	PhysicsServer2DExtension	_body_apply_central_force(body: RID, force: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_apply_central_force].
_body_apply_central_force	PhysicsServer3DExtension	_body_apply_central_force(body: RID, force: Vector3) -> void	
_body_apply_central_impulse	PhysicsServer2DExtension	_body_apply_central_impulse(body: RID, impulse: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_apply_central_impulse].
_body_apply_central_impulse	PhysicsServer3DExtension	_body_apply_central_impulse(body: RID, impulse: Vector3) -> void	
_body_apply_force	PhysicsServer2DExtension	_body_apply_force(body: RID, force: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_apply_force].
_body_apply_force	PhysicsServer3DExtension	_body_apply_force(body: RID, force: Vector3, position: Vector3) -> void	
_body_apply_impulse	PhysicsServer2DExtension	_body_apply_impulse(body: RID, impulse: Vector2, position: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_apply_impulse].
_body_apply_impulse	PhysicsServer3DExtension	_body_apply_impulse(body: RID, impulse: Vector3, position: Vector3) -> void	
_body_apply_torque	PhysicsServer2DExtension	_body_apply_torque(body: RID, torque: float) -> void	Overridable version of [method PhysicsServer2D.body_apply_torque].
_body_apply_torque	PhysicsServer3DExtension	_body_apply_torque(body: RID, torque: Vector3) -> void	
_body_apply_torque_impulse	PhysicsServer2DExtension	_body_apply_torque_impulse(body: RID, impulse: float) -> void	Overridable version of [method PhysicsServer2D.body_apply_torque_impulse].
_body_apply_torque_impulse	PhysicsServer3DExtension	_body_apply_torque_impulse(body: RID, impulse: Vector3) -> void	
_body_attach_canvas_instance_id	PhysicsServer2DExtension	_body_attach_canvas_instance_id(body: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.body_attach_canvas_instance_id].
_body_attach_object_instance_id	PhysicsServer2DExtension	_body_attach_object_instance_id(body: RID, id: int) -> void	Overridable version of [method PhysicsServer2D.body_attach_object_instance_id].
_body_attach_object_instance_id	PhysicsServer3DExtension	_body_attach_object_instance_id(body: RID, id: int) -> void	
_body_clear_shapes	PhysicsServer2DExtension	_body_clear_shapes(body: RID) -> void	Overridable version of [method PhysicsServer2D.body_clear_shapes].
_body_clear_shapes	PhysicsServer3DExtension	_body_clear_shapes(body: RID) -> void	
_body_collide_shape	PhysicsServer2DExtension	_body_collide_shape(body: RID, body_shape: int, shape: RID, shape_xform: Transform2D, motion: Vector2, results: void*, result_max: int, result_count: int32_t*) -> bool	Given a [param body], a [param shape], and their respective parameters, this method should return [code]true[/code] if a collision between the two would occur, with additional details passed in [param results]. Overridable version of [PhysicsServer2D]'s internal [code]shape_collide[/code] method. Corresponds to [method PhysicsDirectSpaceState2D.collide_shape].
_body_create	PhysicsServer2DExtension	_body_create() -> RID	Overridable version of [method PhysicsServer2D.body_create].
_body_create	PhysicsServer3DExtension	_body_create() -> RID	
_body_get_canvas_instance_id	PhysicsServer2DExtension	_body_get_canvas_instance_id(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_canvas_instance_id].
_body_get_collision_exceptions	PhysicsServer2DExtension	_body_get_collision_exceptions(body: RID) -> typedarray::RID	Returns the [RID]s of all bodies added as collision exceptions for the given [param body]. See also [method _body_add_collision_exception] and [method _body_remove_collision_exception]. Overridable version of [PhysicsServer2D]'s internal [code]body_get_collision_exceptions[/code] method. Corresponds to [method PhysicsBody2D.get_collision_exceptions].
_body_get_collision_exceptions	PhysicsServer3DExtension	_body_get_collision_exceptions(body: RID) -> typedarray::RID	
_body_get_collision_layer	PhysicsServer2DExtension	_body_get_collision_layer(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_collision_layer].
_body_get_collision_layer	PhysicsServer3DExtension	_body_get_collision_layer(body: RID) -> int	
_body_get_collision_mask	PhysicsServer2DExtension	_body_get_collision_mask(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_collision_mask].
_body_get_collision_mask	PhysicsServer3DExtension	_body_get_collision_mask(body: RID) -> int	
_body_get_collision_priority	PhysicsServer2DExtension	_body_get_collision_priority(body: RID) -> float	Overridable version of [method PhysicsServer2D.body_get_collision_priority].
_body_get_collision_priority	PhysicsServer3DExtension	_body_get_collision_priority(body: RID) -> float	
_body_get_constant_force	PhysicsServer2DExtension	_body_get_constant_force(body: RID) -> Vector2	Overridable version of [method PhysicsServer2D.body_get_constant_force].
_body_get_constant_force	PhysicsServer3DExtension	_body_get_constant_force(body: RID) -> Vector3	
_body_get_constant_torque	PhysicsServer2DExtension	_body_get_constant_torque(body: RID) -> float	Overridable version of [method PhysicsServer2D.body_get_constant_torque].
_body_get_constant_torque	PhysicsServer3DExtension	_body_get_constant_torque(body: RID) -> Vector3	
_body_get_contacts_reported_depth_threshold	PhysicsServer2DExtension	_body_get_contacts_reported_depth_threshold(body: RID) -> float	Overridable version of [PhysicsServer2D]'s internal [code]body_get_contacts_reported_depth_threshold[/code] method. [b]Note:[/b] This method is currently unused by Godot's default physics implementation.
_body_get_contacts_reported_depth_threshold	PhysicsServer3DExtension	_body_get_contacts_reported_depth_threshold(body: RID) -> float	
_body_get_continuous_collision_detection_mode	PhysicsServer2DExtension	_body_get_continuous_collision_detection_mode(body: RID) -> enum::PhysicsServer2D.CCDMode	Overridable version of [method PhysicsServer2D.body_get_continuous_collision_detection_mode].
_body_get_direct_state	PhysicsServer2DExtension	_body_get_direct_state(body: RID) -> PhysicsDirectBodyState2D	Overridable version of [method PhysicsServer2D.body_get_direct_state].
_body_get_direct_state	PhysicsServer3DExtension	_body_get_direct_state(body: RID) -> PhysicsDirectBodyState3D	
_body_get_max_contacts_reported	PhysicsServer2DExtension	_body_get_max_contacts_reported(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_max_contacts_reported].
_body_get_max_contacts_reported	PhysicsServer3DExtension	_body_get_max_contacts_reported(body: RID) -> int	
_body_get_mode	PhysicsServer2DExtension	_body_get_mode(body: RID) -> enum::PhysicsServer2D.BodyMode	Overridable version of [method PhysicsServer2D.body_get_mode].
_body_get_mode	PhysicsServer3DExtension	_body_get_mode(body: RID) -> enum::PhysicsServer3D.BodyMode	
_body_get_object_instance_id	PhysicsServer2DExtension	_body_get_object_instance_id(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_object_instance_id].
_body_get_object_instance_id	PhysicsServer3DExtension	_body_get_object_instance_id(body: RID) -> int	
_body_get_param	PhysicsServer2DExtension	_body_get_param(body: RID, param: enum::PhysicsServer2D.BodyParameter) -> Variant	Overridable version of [method PhysicsServer2D.body_get_param].
_body_get_param	PhysicsServer3DExtension	_body_get_param(body: RID, param: enum::PhysicsServer3D.BodyParameter) -> Variant	
_body_get_shape	PhysicsServer2DExtension	_body_get_shape(body: RID, shape_idx: int) -> RID	Overridable version of [method PhysicsServer2D.body_get_shape].
_body_get_shape	PhysicsServer3DExtension	_body_get_shape(body: RID, shape_idx: int) -> RID	
_body_get_shape_count	PhysicsServer2DExtension	_body_get_shape_count(body: RID) -> int	Overridable version of [method PhysicsServer2D.body_get_shape_count].
_body_get_shape_count	PhysicsServer3DExtension	_body_get_shape_count(body: RID) -> int	
_body_get_shape_transform	PhysicsServer2DExtension	_body_get_shape_transform(body: RID, shape_idx: int) -> Transform2D	Overridable version of [method PhysicsServer2D.body_get_shape_transform].
_body_get_shape_transform	PhysicsServer3DExtension	_body_get_shape_transform(body: RID, shape_idx: int) -> Transform3D	
_body_get_space	PhysicsServer2DExtension	_body_get_space(body: RID) -> RID	Overridable version of [method PhysicsServer2D.body_get_space].
_body_get_space	PhysicsServer3DExtension	_body_get_space(body: RID) -> RID	
_body_get_state	PhysicsServer2DExtension	_body_get_state(body: RID, state: enum::PhysicsServer2D.BodyState) -> Variant	Overridable version of [method PhysicsServer2D.body_get_state].
_body_get_state	PhysicsServer3DExtension	_body_get_state(body: RID, state: enum::PhysicsServer3D.BodyState) -> Variant	
_body_get_user_flags	PhysicsServer3DExtension	_body_get_user_flags(body: RID) -> int	
_body_is_axis_locked	PhysicsServer3DExtension	_body_is_axis_locked(body: RID, axis: enum::PhysicsServer3D.BodyAxis) -> bool	
_body_is_continuous_collision_detection_enabled	PhysicsServer3DExtension	_body_is_continuous_collision_detection_enabled(body: RID) -> bool	
_body_is_omitting_force_integration	PhysicsServer2DExtension	_body_is_omitting_force_integration(body: RID) -> bool	Overridable version of [method PhysicsServer2D.body_is_omitting_force_integration].
_body_is_omitting_force_integration	PhysicsServer3DExtension	_body_is_omitting_force_integration(body: RID) -> bool	
_body_remove_collision_exception	PhysicsServer2DExtension	_body_remove_collision_exception(body: RID, excepted_body: RID) -> void	Overridable version of [method PhysicsServer2D.body_remove_collision_exception].
_body_remove_collision_exception	PhysicsServer3DExtension	_body_remove_collision_exception(body: RID, excepted_body: RID) -> void	
_body_remove_shape	PhysicsServer2DExtension	_body_remove_shape(body: RID, shape_idx: int) -> void	Overridable version of [method PhysicsServer2D.body_remove_shape].
_body_remove_shape	PhysicsServer3DExtension	_body_remove_shape(body: RID, shape_idx: int) -> void	
_body_reset_mass_properties	PhysicsServer2DExtension	_body_reset_mass_properties(body: RID) -> void	Overridable version of [method PhysicsServer2D.body_reset_mass_properties].
_body_reset_mass_properties	PhysicsServer3DExtension	_body_reset_mass_properties(body: RID) -> void	
_body_set_axis_lock	PhysicsServer3DExtension	_body_set_axis_lock(body: RID, axis: enum::PhysicsServer3D.BodyAxis, lock: bool) -> void	
_body_set_axis_velocity	PhysicsServer2DExtension	_body_set_axis_velocity(body: RID, axis_velocity: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_set_axis_velocity].
_body_set_axis_velocity	PhysicsServer3DExtension	_body_set_axis_velocity(body: RID, axis_velocity: Vector3) -> void	
_body_set_collision_layer	PhysicsServer2DExtension	_body_set_collision_layer(body: RID, layer: int) -> void	Overridable version of [method PhysicsServer2D.body_set_collision_layer].
_body_set_collision_layer	PhysicsServer3DExtension	_body_set_collision_layer(body: RID, layer: int) -> void	
_body_set_collision_mask	PhysicsServer2DExtension	_body_set_collision_mask(body: RID, mask: int) -> void	Overridable version of [method PhysicsServer2D.body_set_collision_mask].
_body_set_collision_mask	PhysicsServer3DExtension	_body_set_collision_mask(body: RID, mask: int) -> void	
_body_set_collision_priority	PhysicsServer2DExtension	_body_set_collision_priority(body: RID, priority: float) -> void	Overridable version of [method PhysicsServer2D.body_set_collision_priority].
_body_set_collision_priority	PhysicsServer3DExtension	_body_set_collision_priority(body: RID, priority: float) -> void	
_body_set_constant_force	PhysicsServer2DExtension	_body_set_constant_force(body: RID, force: Vector2) -> void	Overridable version of [method PhysicsServer2D.body_set_constant_force].
_body_set_constant_force	PhysicsServer3DExtension	_body_set_constant_force(body: RID, force: Vector3) -> void	
_body_set_constant_torque	PhysicsServer2DExtension	_body_set_constant_torque(body: RID, torque: float) -> void	Overridable version of [method PhysicsServer2D.body_set_constant_torque].
_body_set_constant_torque	PhysicsServer3DExtension	_body_set_constant_torque(body: RID, torque: Vector3) -> void	
_body_set_contacts_reported_depth_threshold	PhysicsServer2DExtension	_body_set_contacts_reported_depth_threshold(body: RID, threshold: float) -> void	Overridable version of [PhysicsServer2D]'s internal [code]body_set_contacts_reported_depth_threshold[/code] method. [b]Note:[/b] This method is currently unused by Godot's default physics implementation.
_body_set_contacts_reported_depth_threshold	PhysicsServer3DExtension	_body_set_contacts_reported_depth_threshold(body: RID, threshold: float) -> void	
_body_set_continuous_collision_detection_mode	PhysicsServer2DExtension	_body_set_continuous_collision_detection_mode(body: RID, mode: enum::PhysicsServer2D.CCDMode) -> void	Overridable version of [method PhysicsServer2D.body_set_continuous_collision_detection_mode].
_body_set_enable_continuous_collision_detection	PhysicsServer3DExtension	_body_set_enable_continuous_collision_detection(body: RID, enable: bool) -> void	
_body_set_force_integration_callback	PhysicsServer2DExtension	_body_set_force_integration_callback(body: RID, callable: Callable, userdata: Variant) -> void	Overridable version of [method PhysicsServer2D.body_set_force_integration_callback].
_body_set_force_integration_callback	PhysicsServer3DExtension	_body_set_force_integration_callback(body: RID, callable: Callable, userdata: Variant) -> void	
_body_set_max_contacts_reported	PhysicsServer2DExtension	_body_set_max_contacts_reported(body: RID, amount: int) -> void	Overridable version of [method PhysicsServer2D.body_set_max_contacts_reported].
_body_set_max_contacts_reported	PhysicsServer3DExtension	_body_set_max_contacts_reported(body: RID, amount: int) -> void	
_body_set_mode	PhysicsServer2DExtension	_body_set_mode(body: RID, mode: enum::PhysicsServer2D.BodyMode) -> void	Overridable version of [method PhysicsServer2D.body_set_mode].
_body_set_mode	PhysicsServer3DExtension	_body_set_mode(body: RID, mode: enum::PhysicsServer3D.BodyMode) -> void	
_body_set_omit_force_integration	PhysicsServer2DExtension	_body_set_omit_force_integration(body: RID, enable: bool) -> void	Overridable version of [method PhysicsServer2D.body_set_omit_force_integration].
_body_set_omit_force_integration	PhysicsServer3DExtension	_body_set_omit_force_integration(body: RID, enable: bool) -> void	
_body_set_param	PhysicsServer2DExtension	_body_set_param(body: RID, param: enum::PhysicsServer2D.BodyParameter, value: Variant) -> void	Overridable version of [method PhysicsServer2D.body_set_param].
_body_set_param	PhysicsServer3DExtension	_body_set_param(body: RID, param: enum::PhysicsServer3D.BodyParameter, value: Variant) -> void	
_body_set_pickable	PhysicsServer2DExtension	_body_set_pickable(body: RID, pickable: bool) -> void	If set to [code]true[/code], allows the body with the given [RID] to detect mouse inputs when the mouse cursor is hovering on it. Overridable version of [PhysicsServer2D]'s internal [code]body_set_pickable[/code] method. Corresponds to [member CollisionObject2D.input_pickable].
_body_set_ray_pickable	PhysicsServer3DExtension	_body_set_ray_pickable(body: RID, enable: bool) -> void	
_body_set_shape	PhysicsServer2DExtension	_body_set_shape(body: RID, shape_idx: int, shape: RID) -> void	Overridable version of [method PhysicsServer2D.body_set_shape].
_body_set_shape	PhysicsServer3DExtension	_body_set_shape(body: RID, shape_idx: int, shape: RID) -> void	
_body_set_shape_as_one_way_collision	PhysicsServer2DExtension	_body_set_shape_as_one_way_collision(body: RID, shape_idx: int, enable: bool, margin: float) -> void	Overridable version of [method PhysicsServer2D.body_set_shape_as_one_way_collision].
_body_set_shape_disabled	PhysicsServer2DExtension	_body_set_shape_disabled(body: RID, shape_idx: int, disabled: bool) -> void	Overridable version of [method PhysicsServer2D.body_set_shape_disabled].
_body_set_shape_disabled	PhysicsServer3DExtension	_body_set_shape_disabled(body: RID, shape_idx: int, disabled: bool) -> void	
_body_set_shape_transform	PhysicsServer2DExtension	_body_set_shape_transform(body: RID, shape_idx: int, transform: Transform2D) -> void	Overridable version of [method PhysicsServer2D.body_set_shape_transform].
_body_set_shape_transform	PhysicsServer3DExtension	_body_set_shape_transform(body: RID, shape_idx: int, transform: Transform3D) -> void	
_body_set_space	PhysicsServer2DExtension	_body_set_space(body: RID, space: RID) -> void	Overridable version of [method PhysicsServer2D.body_set_space].
_body_set_space	PhysicsServer3DExtension	_body_set_space(body: RID, space: RID) -> void	
_body_set_state	PhysicsServer2DExtension	_body_set_state(body: RID, state: enum::PhysicsServer2D.BodyState, value: Variant) -> void	Overridable version of [method PhysicsServer2D.body_set_state].
